"CAna_001.PV";"407011 L"
"CAna_061.Tune_LVL1";"415450"
"CAna_061.Tune_LVL2";"415449"
"CAna_061.Tune_LVL3";"415448"
"CAna_061.Tune_LVL4";"415447"
"CAna_061.Tune_MANUAL";"415442"
"CAna_061.Tune_MAXDEV";"415454"
"CAna_061.Tune_TCRHL";"415444"
"CAna_061.Tune_TCRLL";"415445"
"CAna_061.Tune_UTRL";"415452"
"CAna_061.Tune_ZERO";"415443"
"CAna_062.PV";"407072"
"CAna_062.Status";"406072"
"CAna_062.Tune_CtrlWd";"415455"
"CAna_062.Tune_DTRL";"415467"
"CAna_062.Tune_FLTR";"415460"
"CAna_062.Tune_HYS";"415465"
"CAna_062.Tune_LVL1";"415464"
"CAna_062.Tune_LVL2";"415463"
"CAna_062.Tune_LVL3";"415462"
"CAna_062.Tune_LVL4";"415461"
"CAna_062.Tune_MANUAL";"415456"
"CAna_062.Tune_MAXDEV";"415468"
"CAna_062.Tune_TCRHL";"415458"
"CAna_062.Tune_TCRLL";"415459"
"CAna_062.Tune_UTRL";"415466"
"CAna_062.Tune_ZERO";"415457"
"CAna_063.PV";"407073"
"CAna_063.Status";"406073"
"CAna_063.Tune_CtrlWd";"415469"
"CAna_063.Tune_DTRL";"415481"
